,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,23.77822414,13.31997449,15.56512378,-3.713626311,7.296793243,-19.37101306,-0.894129725,-6.110282234,-28.95931643,2.851335711
2,16.60295038,23.31128056,21.09905242,-0.30415371,-3.218989513,2.357643428,12.02727714,7.070348879,-5.762184567,-23.05019771
3,12.08468269,19.71044344,9.837101706,-1.081917765,-1.201942452,9.738018678,16.1259204,19.11939125,-15.58212228,-12.29253529
4,13.04453404,10.74903959,5.884406563,-11.70352522,-4.13435848,-22.3446658,-1.26334898,0.493710809,-15.3053474,6.799086974
5,8.314115245,6.748794241,5.38853505,-0.000289643,-4.724787417,-16.3468122,3.293600093,-10.84827261,-17.28549147,6.034213769
6,12.72084177,14.50510592,8.53937407,-9.798877085,-3.441879494,-13.79277826,-0.873654515,-0.582209315,-21.77869337,5.960885248
7,18.33317939,10.6011864,10.85877375,-0.106562839,-3.723256057,-23.08413465,-2.449055411,-0.225368221,-12.14391838,0.24459264
8,12.21204163,11.89561169,16.57870251,-10.90559659,-5.427662933,-18.54914338,3.574704134,-6.709803169,-15.26331381,-1.430923737
9,20.57498331,6.83052352,18.02690006,-16.17538113,15.71361806,-8.109950125,-1.557622973,1.601866513,-21.43386016,18.2500943
10,19.8341666,0.983827133,21.49950868,-3.832572876,0.69005394,10.08648753,20.44742921,7.76379681,-8.272261181,-20.34694348
11,9.207160831,14.65246758,8.465181271,-12.72298963,5.867142768,-17.46182233,-2.748883824,-4.316017708,-23.59766979,-2.797303264
12,14.94931735,6.689432967,7.800018072,-8.311857117,0.040646262,-29.22508581,-2.018608091,-3.738013439,-22.2718263,3.785522007
13,-17.92475833,13.34036029,-2.843027717,7.608089166,4.081800697,10.55762732,17.82547825,20.4622361,3.859665662,-10.63043517
14,15.81910178,11.48735032,9.457063058,-10.32661209,-5.450813559,-28.14803959,0.02213226,-11.60739092,-20.73348476,11.43135185
15,16.2416252,6.455269741,7.656728799,-6.234986207,-1.035400919,-12.60959389,4.926893659,-9.678122199,-17.73148207,10.84354415
16,-17.49693237,12.24372506,-17.75174619,14.20336392,-1.360806058,19.57643256,18.26424625,21.68278394,-5.375820218,4.309094638
17,-3.279550202,7.835903895,-4.228217604,6.849446369,8.810539324,12.93619387,22.041755,20.69693183,-6.865840055,-12.91438404
18,16.71857408,-3.276629278,13.60598994,-19.18673063,12.04933898,4.302274048,-0.565417184,6.085101695,-16.88958386,19.61885882
19,23.22559515,-4.104298901,15.46557744,-18.13640912,10.48165158,-4.806431227,1.470840685,5.814019063,-16.71112828,21.24576465
20,12.55316104,8.084156342,14.01109308,-19.34784713,25.41048904,-9.78437752,-7.067799016,6.071377995,-18.64210314,10.7491663
21,20.17811776,14.08020703,13.09491569,-9.801734773,-13.76357618,-21.00028273,9.385868985,-7.491548519,-24.1023069,7.128195018
22,-7.936367473,27.13926202,-2.683334879,15.72234024,8.217396135,11.44060857,6.142156731,22.48263077,-4.414882699,-11.2701895
23,-7.131098609,13.72150234,-3.358714351,15.59879623,1.074194959,22.87993859,19.24346206,18.37956374,3.153476833,-0.235749829
24,-10.16509708,19.75500045,-13.18717387,10.26423542,3.817625062,15.1651499,8.811239566,19.59131145,-2.792575794,-7.518544738
25,7.387360929,9.835107268,17.85144226,-2.847369884,-7.683971347,16.43845078,13.92054488,14.81240721,-9.509107014,-29.24633987
26,15.14342709,17.73700252,10.15012178,-14.47218414,18.95391748,-9.372694517,-6.827375463,8.340705087,-20.49336439,11.32614852
27,14.45998837,10.56610201,5.750828259,-8.582978418,-1.064474468,9.324630674,21.24559294,5.958248232,-13.40430331,-21.30876501
28,18.91627832,18.64108794,13.6138779,-0.088808547,-0.642981386,2.287153884,14.70739671,21.10952791,-14.86222987,-25.76637348
29,15.52606908,15.42840136,18.30300169,6.938691452,0.318903014,8.809027799,14.68273401,12.95591454,-15.00404908,-12.43640153
30,-6.513450541,13.04067794,4.502066486,14.6449627,4.586312269,13.58573366,12.38207325,32.29530674,2.696095035,-4.109298456
31,9.768980737,1.556469977,13.75909229,-14.34362071,15.10740285,-17.34662833,-1.55610318,4.675777589,-17.05018934,21.56424907
32,12.46654514,11.02121391,14.64366047,-7.754473755,-7.797368795,-19.95287908,-4.551359735,-7.080381113,-10.50294162,-1.601132051
33,18.53892236,3.254608029,18.13518448,-1.299572352,4.930949024,8.906079582,19.65580722,12.62660821,-7.485641203,-17.49834996
34,19.3415801,7.07125067,8.335169701,-12.81207769,-7.530291262,-23.44742327,-5.790189015,2.307191844,-17.78417938,4.293528993
35,17.62005995,11.43537756,9.086920676,8.180516871,-12.98502124,-16.81240615,9.253935936,4.110847281,-18.72480317,11.62109725
36,15.52136065,11.31643937,10.32127637,1.162927397,-14.0624861,-14.1712662,-2.803668336,-8.183773693,-18.26676533,-1.925326222
37,20.13922508,10.87752321,9.141190373,-3.346830446,-3.121481346,-20.69942646,2.213798049,-1.350270175,-19.53728155,5.156820823
38,-9.548972784,12.9578423,-4.825163709,4.77884813,9.69247286,17.46490415,19.08979715,36.84792164,-0.297440414,-10.61579886
39,-12.32961321,13.42884545,-1.983774283,10.98421249,8.729435848,23.72917324,13.8362903,19.51832379,1.928537023,-9.585903944
40,14.62627306,10.66628089,10.596438,-3.00247333,-5.571795754,-19.29791494,8.38852701,-11.8528044,-23.08183333,6.184324195
41,-14.56480684,13.9533349,1.596156087,13.83640162,10.00086576,4.248488391,12.57152748,24.1118273,-10.68035023,-4.261303029
42,7.257490439,2.469250509,19.58428893,-21.19820991,14.01462496,-12.78689175,-5.663857117,4.173110073,-21.33494083,17.04920092
43,-11.70153704,15.51581554,-0.766511535,8.068951344,12.07353514,14.90056235,16.93803636,16.93022544,-3.996532934,-2.894969656
44,14.99616118,15.94382232,10.89306953,-5.449924251,0.155671681,11.46484688,15.80213805,15.54655831,-12.37617352,-21.09863525
45,-18.36255335,18.09148861,-4.187494732,10.34905269,1.347042379,8.607010877,13.36343959,14.57300707,1.117424348,-2.554541622
46,16.50987965,0.460081849,18.38477741,-22.30550906,14.31141737,-5.299407476,-7.895791196,6.348378433,-23.86113062,15.51916698
